id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
140116,บ้านเกาะ,Ban Ko,ban-ko-140116,140116,13000,14.389,100.582
140115,บ้านใหม่,Ban Mai,ban-mai-140115,140115,13000,14.39,100.521
140120,บ้านป้อม,Ban Pom,ban-pom-140120,140120,13000,14.347,100.529
140121,บ้านรุม,Ban Run,ban-run-140121,140121,13000,14.312,100.559
140113,หันตรา,Hantra,hantra-140113,140113,13000,14.371,100.6
140103,หอรัตนไชย,Ho Rattanachai,ho-rattanachai-140103,140103,13000,14.354,100.578
140104,หัวรอ,Hua Ro,hua-ro-140104,140104,13000,14.368,100.578
140102,กะมัง,Kamang,kamang-140102,140102,13000,14.341,100.581
140118,คลองสระบัว,Khlong Sa Bua,khlong-sa-bua-140118,140118,13000,14.371,100.563
140117,คลองสวนพลู,Khlong Suan Phlu,khlong-suan-phlu-140117,140117,13000,14.334,100.595
140111,คลองตะเคียน,Khlong Takhian,khlong-takhian-140111,140111,13000,14.331,100.554
140119,เกาะเรียน,Ko Rian,ko-rian-140119,140119,13000,14.318,100.579
140114,ลุมพลี,Lumphli,lumphli-140114,140114,13000,14.376,100.548
140107,ปากกราน,Pak Kran,pak-kran-140107,140107,13000,14.31,100.532
140106,ไผ่ลิง,Phai Ling,phai-ling-140106,140106,13000,14.356,100.589
140108,ภูเขาทอง,Phukhao Thong,phukhao-thong-140108,140108,13000,14.365,100.542
140101,ประตูชัย,Pratu Chai,pratu-chai-140101,140101,13000,14.349,100.551
140109,สำเภาล่ม,Samphao Lom,samphao-lom-140109,140109,13000,14.34,100.57
140110,สวนพริก,Suan Phrik,suan-phrik-140110,140110,13000,14.391,100.558
140105,ท่าวาสุกรี,Tha Wasukri,tha-wasukri-140105,140105,13000,14.361,100.552
140112,วัดตูม,Wat Tum,wat-tum-140112,140112,13000,14.39,100.539
